ID row col Width ALBST
L6_2933 250.8194192 270.687237 0.000699442 1
L6_2932 247.1755535 276.2973352 0.000793041 0.995421898
L6_2931 243.5316879 281.9074334 0.000687844 0.990843795
L6_3026 246.5682426 287.8681627 0.004096434 0.988227737
L6_2930 239.8878222 287.5175316 -0.000323958 0.986265693
L6_2929 236.2439566 293.1276297 -0.00050146 0.982341605
L6_3025 242.9243769 293.4782609 0.003887234 0.982341605
L6_3024 239.2805113 299.088359 0.003114924 0.979725546
L6_2928 232.6000909 298.7377279 -0.000312776 0.977763503
L6_3023 235.6366456 304.6984572 0.003508601 0.975147444
L6_2927 228.9562253 304.3478261 -0.000229278 0.9731854
L6_3022 231.99278 310.3085554 0.003375639 0.969915327
L6_2926 225.3123596 309.9579243 -0.000450568 0.969261312
L6_3021 228.3489143 315.9186536 0.00227115 0.965991239
L6_2925 221.668494 315.5680224 -0.00127884 0.964029195
L6_3020 224.7050487 321.5287518 0.001802622 0.961413137
L6_3019 221.061183 327.1388499 0.001540125 0.957489049
L6_3018 217.4173174 332.7489481 0.001048406 0.952910947
L6_3114 220.4538721 338.7096774 0.0047128 0.951602917
L6_3017 213.7734517 338.3590463 0.001022699 0.948986859
L6_3113 216.8100064 344.3197756 0.004091515 0.945716786
L6_3016 210.1295861 343.9691445 0.000639476 0.944408756
L6_3112 213.1661408 349.9298738 0.003884273 0.941792698
L6_3015 206.4857204 349.5792426 -0.000434573 0.939830654
L6_3111 209.5222751 355.5399719 0.002840102 0.93786861
L6_3014 202.8418547 355.1893408 -0.000924562 0.935906566
L6_3110 205.8784095 361.1500701 0.001867235 0.933944522
L6_3109 202.2345438 366.7601683 0.001469818 0.927404376
L6_3108 198.5906781 372.3702665 0.000975892 0.924788318
L6_3107 194.9468125 377.9803647 -0.000667763 0.919556201
L6_3204 191.3029468 383.5904628 -0.001784132 0.916286127
L6_3205 197.9833672 383.941094 0.002605465 0.916286127
L6_3304 201.0199219 389.9018233 0.005252659 0.914978098
L6_3303 194.3395016 389.5511921 0.000947323 0.913016054
L6_3402 190.6956359 395.1612903 -0.00085957 0.909091966
L6_3403 197.3760563 395.5119215 0.00353048 0.908437952
L6_3504 193.7321906 401.1220196 0.001931702 0.905821893
L6_3503 187.0517702 400.7713885 -0.001933974 0.905167879
L6_3606 190.088325 406.7321178 0.000184476 0.901243791
L6_3607 196.7687453 407.0827489 0.004427189 0.901243791
L6_3710 186.4444593 412.342216 -0.002336122 0.897973718
L6_3711 193.1248797 412.6928471 0.002053566 0.897319703
L6_3817 189.481014 418.3029453 0.000371783 0.89404963
L6_3926 192.5175687 424.2636746 0.002959584 0.890125542
L6_3925 185.8371484 423.9130435 -0.001041034 0.889471528
L6_4035 188.8737031 429.8737728 0.001733051 0.887509484
L6_4146 185.2298374 435.483871 0.000350345 0.882931381
L6_4258 181.5859718 441.0939691 -0.001580005 0.879007294
L6_4259 188.2663921 441.4446003 0.002805393 0.879007294
L6_4373 184.6225265 447.0546985 0.00040871 0.875083206
L6_4489 187.6590812 453.0154278 0.00108511 0.871159118
L6_4605 184.0152155 458.6255259 -0.001967396 0.86723503
L6_4606 190.6956359 458.9761571 0.001885866 0.866581016
L6_4724 187.0517702 464.5862553 -0.00133061 0.863964957
L6_4725 193.7321906 464.9368864 0.001917398 0.862002913
L6_4844 190.088325 470.5469846 -0.001608353 0.860040869
L6_4845 196.7687453 470.8976157 0.001796872 0.856770796
L6_4967 199.8053 476.858345 0.001396973 0.852846708
L6_5090 202.8418547 482.8190743 0.000563157 0.848922621
L6_5215 205.8784095 488.7798036 0.000592268 0.844998533
L6_5341 208.9149642 494.740533 0.000178576 0.84042043
L6_5342 215.5953845 495.0911641 0.003556955 0.838458386
L6_5469 211.9515189 500.7012623 -0.000459731 0.837150357
L6_5470 218.6319392 501.0518934 0.003059385 0.833880284
L6_5598 214.9880736 506.6619916 -0.000790852 0.832572255
L6_5599 221.668494 507.0126227 0.002484633 0.830610211
L6_5729 218.0246283 512.6227209 -0.001238244 0.828648167
L6_5730 224.7050487 512.973352 0.002514462 0.826686123
