ID row col Width ALBST
L6_867 30.36554712 195.3015428 -0.003618835 -1
L6_868 37.04596748 195.6521739 -0.002921108 -0.997312731
L6_869 43.72638785 196.002805 -0.002691668 -0.99261001
L6_870 50.40680821 196.3534362 -0.002465022 -0.988579106
L6_871 57.08722858 196.7040673 -0.00221504 -0.983876386
L6_872 63.76764895 197.0546985 -0.001984852 -0.979173665
L6_873 70.44806931 197.4053296 -0.001768945 -0.974470944
L6_874 77.12848968 197.7559607 -0.001510054 -0.969768223
L6_875 83.80891004 198.1065919 -0.001278486 -0.965065502
L6_876 90.48933041 198.457223 -0.001087349 -0.961034599
L6_877 97.16975078 198.8078541 -0.000808983 -0.95566006
L6_878 103.8501711 199.1584853 -0.001241249 -0.95095734
L6_919 33.40210183 201.2622721 0.000890004 -1
L6_920 40.08252219 201.6129032 0.001084994 -0.995297279
L6_921 46.76294256 201.9635344 0.001328715 -0.990594558
L6_922 53.44336293 202.3141655 0.001582972 -0.986563655
L6_923 60.12378329 202.6647966 0.001792187 -0.981860934
L6_924 66.80420366 203.0154278 0.002030082 -0.976486396
L6_925 73.48462402 203.3660589 0.002284694 -0.972455492
L6_926 80.16504439 203.71669 0.002499397 -0.967752771
L6_927 86.84546476 204.0673212 0.002734468 -0.96305005
L6_928 93.52588512 204.4179523 0.002985099 -0.95834733
L6_929 100.2063055 204.7685835 0.00253559 -0.953644609
L6_930 106.8867259 205.1192146 0.002096924 -0.948941888
L6_931 110.5305915 199.5091164 -0.001964099 -0.947598253
L6_972 36.43865654 207.2230014 0.004861477 -0.997984548
L6_973 43.11907691 207.5736325 0.005088726 -0.993281827
L6_980 89.88201947 210.0280505 0.006737484 -0.961034599
L6_981 96.56243983 210.3786816 0.006710661 -0.953644609
L6_983 109.9232806 211.0799439 0.005428491 -0.946926436
L6_984 113.5671462 205.4698457 0.001684574 -0.944239167
L6_985 117.2110119 199.8597475 -0.002114433 -0.941551898
L6_1027 32.79479089 212.8330996 0.0086226 -1
L6_1040 116.6037009 211.430575 0.00567006 -0.941551898
L6_1041 120.2475666 205.8204769 0.00190213 -0.939536446
L6_1042 123.8914322 200.2103787 -0.001875535 -0.936849177
L6_1098 123.2841213 211.7812062 0.005902453 -0.937520994
L6_1099 126.927987 206.171108 0.002130954 -0.934833725
L6_1100 130.5718526 200.5610098 -0.00166361 -0.930802822
L6_1158 129.9645417 212.1318373 0.006134972 -0.932818273
L6_1159 133.6084073 206.5217391 0.00233488 -0.927443735
L6_1160 137.252273 200.911641 -0.002063472 -0.928115553
L6_1219 136.644962 212.4824684 0.005703658 -0.926771918
L6_1220 140.2888277 206.8723703 0.001704071 -0.923412832
L6_1221 143.9326933 201.2622721 -0.002511477 -0.922069197
L6_1282 143.3253824 212.8330996 0.00526695 -0.922741014
L6_1283 146.969248 207.2230014 0.001493594 -0.920053745
L6_1284 150.6131137 201.6129032 -0.002290306 -0.916694659
L6_1346 150.0058028 213.1837307 0.005497973 -0.917366476
L6_1347 153.6496684 207.5736325 0.001393064 -0.91400739
L6_1348 157.2935341 201.9635344 -0.002718928 -0.912663755
L6_1412 156.6862231 213.5343619 0.005066102 -0.912663755
L6_1413 160.3300888 207.9242637 0.001311636 -0.910648304
L6_1414 163.9739544 202.3141655 -0.002476269 -0.905945583
L6_1479 163.3666435 213.884993 0.005302998 -0.9066174
L6_1480 167.0105091 208.2748948 0.001084199 -0.903258314
L6_1481 170.6543748 202.6647966 -0.002921706 -0.901242862
L6_1547 170.0470639 214.2356241 0.00486112 -0.901914679
L6_1548 173.6909295 208.6255259 0.001111621 -0.89922741
